Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
27.277639389038086,209.785888671875,29.037500381469727,225.24000549316406,29.082500457763672,225.8300018310547,28.690000534057617,223.8800048828125,28.950000762939453,225.0399932861328,115127600,91366500
27.247108459472656,211.0339813232422,29.0049991607666,226.5800018310547,29.127500534057617,226.75,28.9375,225.61000061035156,28.962499618530273,225.6199951171875,84472400,78744400
27.38566780090332,210.86631774902344,29.15250015258789,226.39999389648438,29.21500015258789,226.5800018310547,28.952499389648438,225.47999572753906,28.979999542236328,226.27000427246094,88774400,78379000
27.69097137451172,211.6207275390625,29.477500915527344,227.2100067138672,29.540000915527344,227.75,29.11750030517578,225.89999389648438,29.19499969482422,226.52999877929688,127007600,71559900
27.944602966308594,210.92221069335938,29.747499465942383,226.4600067138672,29.857500076293945,227.07000732421875,29.485000610351562,226.4199981689453,29.487499237060547,226.91000366210938,134247600,46939700
27.97278594970703,210.92221069335938,29.77750015258789,226.4600067138672,29.844999313354492,227.4499969482422,29.575000762939453,226.00999450683594,29.6924991607666,226.47999572753906,97848400,63771900
28.123088836669922,211.51829528808594,29.9375,227.10000610351562,29.982500076293945,227.10000610351562,29.649999618530273,225.58999633789062,29.684999465942383,226.36000061035156,110354400,74650000
28.005664825439453,210.98736572265625,29.8125,226.52999877929688,29.825000762939453,226.75,29.552499771118164,224.9600067138672,29.725000381469727,226.5,108344800,72113200
27.956350326538086,211.47174072265625,29.760000228881836,227.0500030517578,29.905000686645508,227.39999389648438,29.702499389648438,226.69000244140625,29.77750015258789,226.72999572753906,104447600,62717900
28.181800842285156,210.72659301757812,30.0,226.25,30.059999465942383,226.77999877929688,29.55500030517578,225.8000030517578,29.584999084472656,226.30999755859375,137759200,61240800
28.17945671081543,211.19227600097656,29.997499465942383,226.75,30.125,226.8000030517578,29.927499771118164,225.89999389648438,30.0,226.5399932861328,94852000,54793300
28.1301326751709,210.40992736816406,29.94499969482422,225.91000366210938,30.022499084472656,227.0,29.842500686645508,225.41000366210938,29.850000381469727,226.83999633789062,102389200,66608800
28.181800842285156,211.1829833984375,30.0,226.74000549316406,30.112499237060547,227.30999755859375,29.9325008392334,225.97000122070312,30.112499237060547,226.6999969482422,130391600,129168600
28.200590133666992,210.63345336914062,30.020000457763672,226.14999389648438,30.202499389648438,226.80999755859375,29.9424991607666,225.27000427246094,30.0,226.74000549316406,88200800,75061600
28.17475700378418,211.98397827148438,29.99250030517578,227.60000610351562,30.024999618530273,228.0800018310547,29.875,226.27000427246094,29.887500762939453,226.39999389648438,92844000,95555300
28.623313903808594,213.8188018798828,30.469999313354492,229.57000732421875,30.524999618530273,229.57000732421875,30.06999969482422,228.50999450683594,30.104999542236328,228.6999969482422,129510400,84437700
28.637407302856445,213.5952911376953,30.485000610351562,229.3300018310547,30.610000610351562,229.7100067138672,30.399999618530273,229.00999450683594,30.417499542236328,229.39999389648438,105350400,59970700
28.639755249023438,213.2599639892578,30.487499237060547,228.97000122070312,30.587499618530273,229.58999633789062,30.399999618530273,228.75999450683594,30.53499984741211,229.4199981689453,82251600,59711100
28.564605712890625,211.93739318847656,30.407499313354492,227.5500030517578,30.407499313354492,228.1999969482422,30.165000915527344,226.41000366210938,30.232500076293945,228.1699981689453,121510000,79737300
28.498844146728516,211.91876220703125,30.337499618530273,227.52999877929688,30.34749984741211,227.60000610351562,30.155000686645508,226.32000732421875,30.287500381469727,226.97999572753906,196804000,75880800
30.236719131469727,212.0026092529297,32.1875,227.6199951171875,32.622501373291016,228.58999633789062,31.752500534057617,226.94000244140625,31.75749969482422,227.52999877929688,447940000,79117700
30.185060501098633,212.14230346679688,32.13249969482422,227.77000427246094,32.34749984741211,228.10000610351562,31.94499969482422,226.82000732421875,31.9950008392334,227.6199951171875,134841600,69657600
30.31422996520996,213.60458374023438,32.27000045776367,229.33999633789062,32.29750061035156,229.5500030517578,32.040000915527344,228.4600067138672,32.07749938964844,228.82000732421875,98029200,80563200
30.598392486572266,213.22268676757812,32.5724983215332,228.92999267578125,32.625,229.3300018310547,32.224998474121094,228.5399932861328,32.282501220703125,228.8699951171875,107383600,57790100
30.88960075378418,213.23202514648438,32.88249969482422,228.94000244140625,33.022499084472656,229.66000366210938,32.61249923706055,228.72000122070312,32.6349983215332,229.3800048828125,152735200,57931200
31.00937271118164,213.51145935058594,33.0099983215332,229.24000549316406,33.05500030517578,229.38999938964844,32.80500030517578,228.30999755859375,32.837501525878906,228.94000244140625,92016400,51566200
31.23344612121582,214.77813720703125,33.10499954223633,230.60000610351562,33.11249923706055,230.9499969482422,32.779998779296875,229.24000549316406,32.912498474121094,229.24000549316406,113399600,65955200
31.162689208984375,215.62567138671875,33.029998779296875,231.50999450683594,33.23500061035156,231.77000427246094,33.01250076293945,230.6199951171875,33.1150016784668,231.0,80262000,66015900
31.43865203857422,216.7992401123047,33.3224983215332,232.77000427246094,33.45500183105469,233.07000732421875,33.1875,232.0500030517578,33.27000045776367,232.0800018310547,92141600,55182100
31.846702575683594,217.6654510498047,33.755001068115234,233.6999969482422,33.772499084472656,233.7100067138672,33.3125,232.16000366210938,33.36750030517578,232.55999755859375,132904800,71109000
31.962276458740234,218.80169677734375,33.877498626708984,234.9199981689453,34.067501068115234,235.13999938964844,33.654998779296875,233.38999938964844,33.880001068115234,233.4499969482422,142492400,86785800
